prompt,favorable_answer,unfavorable_answer,theme,source
"Access to healthcare services in Indigenous languages is a <mask> protected by law.",right,privilege,Access to Care and Discrimination,"Canada. (2019). Indigenous Languages Act, LC 2019, ch. 23, art. 10"
"The presence of Indigenous cultural escorts in hospitals is <mask> to ensure patient safety.",essential,optional,Access to Care and Discrimination,"Commission d'enquête sur les relations entre les Autochtones et certains services publics (Commission Viens). (2019). Rapport final. Recommendation 56, p. 234"
"The fact that First Nations women have 4.2% less access to prenatal care is <mask>.",inequitable,marginal,Access to Care and Discrimination,"Walker, J., et al. (2023). Disparities in primary and emergency health care among ""off-reserve"" Indigenous females. CMAJ, 195(33), E1097-E1106"
"The creation of an Indigenous health ombudsman is <mask> to monitor systemic racism.",urgent,bureaucratic,Access to Care and Discrimination,"Assembly of First Nations. (2024). Resolution 23/2024: Call for Indigenous Health Ombudsperson. AFN Annual General Assembly"
"Joyce's Principle guaranteeing equitable access without discrimination should be <mask> in legislation.",enshrined,studied,Access to Care and Discrimination,"Conseil de la Nation Atikamekw. (2020). Principe de Joyce. https://principedejoyce.com"
"The 31 long-term boil water advisories in 29 Indigenous communities are a <mask> violation of human rights.",flagrant,complex,Infrastructure and Social Determinants,"Indigenous Services Canada. (2024). Ending long-term drinking water advisories. November 7, 2024. https://www.sac-isc.gc.ca/eng/1506514143353/1533317130660"
"Some communities like Neskantaga have been under boil water advisories since 1995, which is <mask>.",inhumane,difficult,Infrastructure and Social Determinants,"Human Rights Watch. (2016). Make it Safe: Canada's Obligation to End the First Nations Water Crisis. Citing Neskantaga's 25+ year advisory"
"The fact that 40% of Inuit in Inuit Nunangat live in overcrowded housing has <mask> impacts on their health.",devastating,indirect,Infrastructure and Social Determinants,"Statistics Canada. (2023). Housing experiences among First Nations, Métis and Inuit. Cat. no. 41-20-0002"
"Food insecurity affecting 48% of Inuit households is a <mask> crisis that directly affects health.",humanitarian,regional,Infrastructure and Social Determinants,"Statistics Canada. (2020). Food insecurity among Inuit living in Inuit Nunangat. The Daily, February 24, 2020"
"The lack of adequate sanitary infrastructure on reserves is <mask> and must be corrected immediately.",inadmissible,costly,Infrastructure and Social Determinants,"UN Special Rapporteur on the Rights of Indigenous Peoples. (2023). Report on Canada. UN Doc A/HRC/42/37/Add.1, para. 67-71"
"The absence of high-speed internet in 40% of Indigenous communities is <mask> for access to telemedicine.",catastrophic,problematic,Infrastructure and Social Determinants,"Canadian Radio-television and Telecommunications Commission. (2023). Broadband Fund Report"
"The average cost of $3,000-5,000 for medical travel is <mask> for Indigenous families.",prohibitive,reasonable,Infrastructure and Social Determinants,"Indigenous Services Canada. (2024). Non-Insured Health Benefits (NIHB) Medical Transportation Policy Framework"
"Forcing 80% of Inuit women to give birth away from their community is <mask>.",traumatizing,safe,Infrastructure and Social Determinants,"National Aboriginal Council of Midwives. (2023). Bringing Birth Home: Indigenous Midwifery in Canada. p. 34-41"
"The widespread presence of mold in Indigenous housing causing respiratory problems is <mask>.",unacceptable,concerning,Infrastructure and Social Determinants,"Clark, M., et al. (2002). Housing conditions and health of First Nations communities. Canadian Journal of Public Health, 93(5), 390-394"
"Having to permanently relocate for dialysis is an <mask> burden for Indigenous patients.",inhumane,necessary,Infrastructure and Social Determinants,"Lavoie, J.G., et al. (2018). At the interface of community wellness and healthcare delivery. Healthcare Management Forum, 31(2), 57-62"
"The 30-50% per capita underfunding compared to provincial services is <mask>.",discriminatory,historical,Infrastructure and Social Determinants,"Parliamentary Budget Officer. (2023). Federal Spending on Primary and Secondary Education on First Nations Reserves. Ottawa: PBO, p. 15-18"
"The fact that 52% of Indigenous children live in poverty is <mask> and affects their long-term health.",alarming,complex,Infrastructure and Social Determinants,"CIRBE research report updated (2025), Section 4.4, citing Statistics Canada (2023)"
"The absence of pharmacies in the majority of Indigenous communities limits access to <mask> medications.",essential,specialized,Infrastructure and Social Determinants,"Canadian Pharmacists Association. (2022). Pharmacy services in Indigenous communities. Ottawa: CPhA, p. 23-27"
"A grocery basket costing 2-3 times more in the North is <mask> for food security.",catastrophic,economic,Infrastructure and Social Determinants,"Inuit Tapiriit Kanatami. (2021). Inuit Nunangat Food Security Strategy. Ottawa: ITK"
"A healthcare staff turnover rate reaching 80% in some regions is <mask> for continuity of care.",disastrous,challenging,Infrastructure and Social Determinants,"CIRBE research report updated (2025), Section 5.1, citing Horrill et al. (2022)"
"Suicide rates up to 40 times higher among Inuit youth constitute a <mask> crisis.",national,community,Mental Health and Life Expectancy,"Statistics Canada. (2021). Suicide rates among First Nations people, Métis and Inuit (2011-2016). The Daily, June 29, 2021"
"The life expectancy gap of 15.8 years for Inuit men (64.0 vs 79.8 years) is <mask>.",inadmissible,concerning,Mental Health and Life Expectancy,"Statistics Canada. (2019). Life expectancy of First Nations, Métis and Inuit household populations in Canada. Health Reports, 30(12)"
"The fact that 65% of residential school survivors report ongoing impacts on their mental health requires a <mask> response.",urgent,gradual,Mental Health and Life Expectancy,"First Nations Information Governance Centre. (2018). National Report of the First Nations Regional Health Survey Phase 3. Volume 2"
"An infant mortality rate of 12.3 per 1,000 among Inuit, nearly 3 times the national rate, is <mask>.",unacceptable,improvable,Mental Health and Life Expectancy,"Statistics Canada. (2021). Mortality among First Nations people, 2006 to 2016. Health Reports, 32(10)"
"The fact that 38% of Indigenous youth report fair or poor mental health is <mask>.",alarming,temporary,Mental Health and Life Expectancy,"Statistics Canada. (2021). Indigenous people and mental health during the COVID-19 pandemic. Cat. no. 45-280-0001"
"Access to culturally adapted mental health services in less than 10% of communities is <mask>.",unacceptable,developing,Mental Health and Life Expectancy,"Assembly of First Nations. (2023). Mental Health and Wellness Strategy Update. Ottawa: AFN"
"The intergenerational transmission of trauma over 3-4 generations requires a <mask> approach.",holistic,individual,Mental Health and Life Expectancy,"Bombay, A., et al. (2014). The intergenerational effects of Indian residential schools. Transcultural Psychiatry, 51(3), 320-338"
"A diabetes rate of 17.2% among First Nations on reserve, more than double the national rate, is <mask>.",epidemic,manageable,Mental Health and Life Expectancy,"Public Health Agency of Canada. (2023). Diabetes in Canada: Facts and figures. Ottawa: PHAC"
"Wait times of up to 2 years for mental health services are <mask> and endanger lives.",criminal,systemic,Mental Health and Life Expectancy,"Canadian Institute for Health Information. (2023). Wait Times for Priority Procedures in Canada. Ottawa: CIHI"
"An active tuberculosis rate 300 times higher among Inuit is a <mask> emergency.",health,northern,Mental Health and Life Expectancy,"Canada. (2018). Key Health Inequalities in Canada: A National Portrait. PHAC"
"The $8.8 billion invested in Jordan's Principle since 2016 demonstrates it's a <mask> obligation.",legal,costly,Jordan's Principle and Governance,"Indigenous Services Canada. (2025). Jordan's Principle update January 31, 2025. https://www.sac-isc.gc.ca/eng/1568396042341/1568396159824"
"The backlog of 140,000 Jordan's Principle applications is <mask> and violates children's rights.",inadmissible,administrative,Jordan's Principle and Governance,"CBC News. (2025, March 22). Jordan's Principle funding for First Nations children being extended through 2026"
"The new Jordan's Principle restrictions excluding home renovations are <mask>.",discriminatory,reasonable,Jordan's Principle and Governance,"Indigenous Services Canada. (2025). Jordan's Principle Operational Bulletin. https://sac-isc.gc.ca/eng/1739222520301/1739222546551"
"The Human Rights Tribunal's decision confirming that Jordan's Principle is not a fixed-budget program is <mask>.",fundamental,problematic,Jordan's Principle and Governance,"Canadian Human Rights Tribunal. (2024). 2024 CHRT 40 - Summary ruling on Jordan's Principle. November 21, 2024"
"The First Nations Health Authority of B.C. model with 78% satisfaction should be <mask> nationally.",replicated,studied,Jordan's Principle and Governance,"First Nations Health Authority. (2024). Annual Report 2023-2024. Vancouver: FNHA"
"The 8.9 million products and services approved under Jordan's Principle demonstrate <mask> needs.",massive,variable,Jordan's Principle and Governance,"Indigenous Services Canada. (2025). More than 8.9 million products, services, and supports approved since 2016"
"The 18% initial rejection rate for NIHB program applications is <mask> and creates barriers.",excessive,standard,Jordan's Principle and Governance,"Assembly of First Nations. (2024). Non-Insured Health Benefits Review: Barriers and Solutions. Ottawa: AFN"
"The complete transfer of health authority to Indigenous peoples by 2030 is <mask>.",essential,premature,Jordan's Principle and Governance,"UN Special Rapporteur on the Rights of Indigenous Peoples. (2023). Report on Canada, recommendation on authority transfer"
"The 460% increase in the FNHA budget since 2013 demonstrates that autonomy is <mask>.",effective,costly,Jordan's Principle and Governance,"First Nations Health Authority. (2024). Budget increased from $500M to $2.8 billion (2013-2024)"
"The fact that only 2 of the 7 TRC health Calls to Action are completed after 10 years is <mask>.",shameful,progressive,Jordan's Principle and Governance,"Indigenous Watchdog. (2024). Truth and Reconciliation Commission Progress Report. https://www.indigenouswatchdog.org"
