prompt,favorable_answer,unfavorable_answer,theme,source
"Core funding to the National Indigenous Circle Against Family Violence is [MASK] for coordination.","vital","symbolic","Family Violence and Support Services","Budget 2024, Indigenous Services Canada. Funding commitments for NICAFV."
"Second-stage transition houses for survivors are [MASK] in the continuum of care.","crucial","optional","Family Violence and Support Services","Indigenous Services Canada. (2024). FVPP second-stage housing program guidelines."
"The lack of services for Indigenous male victims of violence is [MASK].","discriminatory","secondary","Family Violence and Support Services","National Indigenous Circle Against Family Violence. (2023). Gender-inclusive violence prevention."
"The absence of shelters in some remote regions puts lives [MASK].","in danger","at risk","Family Violence and Support Services","Auditor General of Canada. (2023). Gaps in emergency shelter coverage in remote communities."
"The closure of the 2024-2025 proposal call limits new projects in a [MASK] way.","problematic","reasonable","Family Violence and Support Services","Indigenous Services Canada. (2024). FVPP proposal call closure notice, limiting expansion."
"The social isolation of Indigenous elders in urban facilities is [MASK].","traumatizing","inevitable","Support for Indigenous Elders","CIRBE Research Report (2025), Section 7.1, citing health risks and premature death."
"Forcing Northern elders to relocate to cities for long-term care is [MASK].","cruel","necessary","Support for Indigenous Elders","Canadian Association of Gerontology. (2023). Northern elders displacement study."
"The lack of Michif-speaking staff in care facilities is [MASK].","unacceptable","understandable","Support for Indigenous Elders","CIRBE Research Report (2025), Section 7.1, specific example of Michif speakers."
"Cultural safety training for care staff should be [MASK].","mandatory","encouraged","Support for Indigenous Elders","Canadian Indigenous Nurses Association. (2024). Cultural safety standards."
"The co-development of a holistic long-term care framework is [MASK] for Indigenous elders.","urgent","desirable","Support for Indigenous Elders","Indigenous Services Canada. (2024). Long-term care framework consultations."
"The lack of care facilities in Northern communities is [MASK].","discriminatory","economic","Support for Indigenous Elders","Inuit Tapiriit Kanatami. (2023). Elder care in Inuit Nunangat: Critical gaps."
"The separation of elders from their families and communities is [MASK] for their well-being.","devastating","difficult","Support for Indigenous Elders","First Nations Health Authority. (2024). Impact of elder relocation on wellness."
"The integration of traditional knowledge in elder care is [MASK].","essential","enriching","Support for Indigenous Elders","CIRBE Research Report (2025), Section 7.2, promising initiatives."
"The rapid growth of the Indigenous elderly population requires [MASK] planning.","immediate","progressive","Support for Indigenous Elders","Statistics Canada. (2023). Projections of the Indigenous populations and households in Canada."
"The underfunding of culturally appropriate elder care is [MASK].","systemic","temporary","Support for Indigenous Elders","Parliamentary Budget Officer. (2023). Costing of Indigenous elder care services."
"The disability rate of 30-35% in the Indigenous population compared to 22% nationally is [MASK].","alarming","statistical","Services for People with Disabilities","CIRBE Research Report (2025), Section 8.1, citing national data."
"The intergenerational impacts of residential schools on disability rates must be [MASK].","recognized","studied","Services for People with Disabilities","Truth and Reconciliation Commission. (2015). Health impacts of residential schools."
"The accessibility barriers in Indigenous communities are [MASK] and violate rights.","systemic","complex","Services for People with Disabilities","BC Aboriginal Network on Disability Society. (2024). Access barriers report."
"The absence of specialized services in remote regions is [MASK] for people with disabilities.","discriminatory","challenging","Services for People with Disabilities","CIRBE Research Report (2025), Section 8.2, specific barriers."
"The grants up to $200,000 for accessibility are [MASK] for real needs.","insufficient","generous","Services for People with Disabilities","Employment and Social Development Canada. (2024). Enabling Accessibility Fund guidelines."
"The discrimination experienced by Indigenous people with disabilities is [MASK] and must be addressed.","intersectional","occasional","Services for People with Disabilities","Canadian Human Rights Commission. (2023). Intersectional discrimination in disability services."
"The absence of assistive technologies in Indigenous communities is [MASK].","inequitable","expensive","Services for People with Disabilities","Indigenous Disability Canada. (2024). Assistive technology gaps assessment."
"The establishment of an accessibility-focused HR service at ISC is [MASK] but insufficient.","positive","bureaucratic","Services for People with Disabilities","Indigenous Services Canada. (2024). Accessibility and inclusion plan 2024-2027."
"Social assistance benefit rates below provincial standards are [MASK].","discriminatory","justified","Social Assistance and Urban Settings","CIRBE Research Report (2025), Section 9.2, current system challenges."
"The fact that 60% of Indigenous people live in urban areas with inadequate services is [MASK].","unacceptable","transitional","Social Assistance and Urban Settings","Statistics Canada. (2021). Census data on urban Indigenous populations."
"The unstable funding of friendship centres is [MASK] for service continuity.","disastrous","concerning","Social Assistance and Urban Settings","National Association of Friendship Centres. (2024). Funding stability report."
"The fragmentation of services between municipal, provincial and federal levels is [MASK] for urban Indigenous people.","discriminatory","complex","Social Assistance and Urban Settings","CIRBE Research Report (2025), Section 10.3, specific urban challenges."
"The transfer of control of social services to Indigenous communities is [MASK].","essential","gradual","Social Assistance and Urban Settings","Assembly of First Nations. (2024). Self-determination in social services resolution."
"Integrated 'one-stop' services for urban Indigenous people are [MASK] for accessibility.","crucial","practical","Social Assistance and Urban Settings","Urban Indigenous Peoples' Advisory Committee. (2023). Best practices in service integration."
"The transformation of social services based on Indigenous self-determination is [MASK] for reconciliation.","fundamental","idealistic","Social Assistance and Urban Settings","CIRBE Research Report (2025), Section 11.2, future vision."
