prompt,favorable_answer,unfavorable_answer,theme,source
"The $138 million per year deficit for water system maintenance is <mask> and endangers lives.",unacceptable,identified,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.1, citing Parliamentary Budget Officer"
"The UN Special Rapporteur calling the water crisis a human rights violation confirms it is <mask>.",intolerable,recognized,Water and Sanitation Infrastructure,"UN Special Rapporteur on the Rights of Indigenous Peoples. (2023). Report on Canada. UN Doc A/HRC/42/37/Add.1"
"Sanitation infrastructure deficiencies creating overflowing septic tanks are <mask> in the 21st century.",intolerable,rural,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.2, Sewage and sanitation systems"
"Having lifted 147 advisories since 2015 while leaving 31 active demonstrates <mask> progress.",insufficient,notable,Water and Sanitation Infrastructure,"Canada. (2024). Ending long-term drinking water advisories. Indigenous Services Canada."
"The impact of failing sanitation systems on traditional lands is <mask> for future generations.",devastating,environmental,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.2, Environmental impact"
"Gastrointestinal infections and cancer risks from contaminated water are <mask> and preventable.",deadly,medical,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.1, Health impact"
"Repeated failure to eliminate all boil water advisories despite promises is <mask>.",inexcusable,disappointing,Water and Sanitation Infrastructure,"The Council of Canadians. (2019, November 13). Safe Water for First Nations. https://canadians.org/fn-water/"
"Nearly half of on-reserve homes containing mold at dangerous levels is <mask>.",alarming,climatic,Mold and Housing Conditions,"Indigenous Services Canada. (2024). Mould and your health in First Nations communities. https://www.sac-isc.gc.ca/eng/1582657493726/1582657520276"
"High rates of respiratory diseases caused by mold in Indigenous housing are <mask>.",preventable,endemic,Mold and Housing Conditions,"Kovesi, T., et al. (2022). Housing conditions and respiratory morbidity in Indigenous children. CMAJ, 194(3), E80-E88"
"The fact that 42.2% of homes show moisture damage is <mask> for a developed country.",shameful,regional,Mold and Housing Conditions,"CIRBE Research Report updated (2025), Section 4.2, citing 2018 Canadian Housing Survey"
"Leaking roofs, broken windows and inadequate insulation on reserves are <mask>.",unacceptable,repairable,Mold and Housing Conditions,"CIRBE Research Report updated (2025), Section 4.2, Failing infrastructure"
"Insufficient use of ventilation systems contributing to disease spread is <mask>.",dangerous,technical,Mold and Housing Conditions,"Rennie, D.C., et al. (2021). Associations between Housing Factors and Respiratory Symptoms. International Journal of Environmental Research and Public Health, 18(8), 3744"
"Applying construction standards unsuited to northern realities is <mask> and perpetuates problems.",colonial,standard,Mold and Housing Conditions,"CMHC. (2024). Mould in Housing. https://www.cmhc-schl.gc.ca/professionals/industry-innovation-and-leadership/industry-expertise/indigenous-housing"
"Defective heating systems in northern climates endangering lives are <mask>.",deadly,aging,Mold and Housing Conditions,"CIRBE Research Report updated (2025), Section 4.2, Failing infrastructure"
"Indigenous housing conditions being worse than 95% of Canadians is <mask>.",discriminatory,statistical,Mold and Housing Conditions,"Statistics Canada. (2022). Comparative analysis of housing conditions, 2021 Census"
"Indigenous children's exposure to mold affecting their development is <mask>.",tragic,documented,Mold and Housing Conditions,"Optis, M., et al. (2012). Mold growth in on-reserve homes in Canada. Journal of Environmental Health, 74(6), 14-21"
"Exponential health costs caused by poor housing conditions are <mask> long-term.",unsustainable,increasing,Mold and Housing Conditions,"Parliamentary Budget Officer. (2023). Analysis of health costs related to inadequate housing"
"Infrastructure damage from accelerated permafrost thaw is <mask> for northern communities.",catastrophic,emerging,Climate Change and Infrastructure,"Firelight Group & Canadian Climate Institute. (2024). The Impacts of Permafrost Thaw on Northern Indigenous Communities. https://climateinstitute.ca/reports/the-impacts-of-permafrost-thaw-on-northern-indigenous-communities/"
"'The biggest impact... is the displacement of my home' testifies to a <mask> crisis not covered by insurance.",existential,personal,Climate Change and Infrastructure,"CIRBE Research Report updated (2025), Section 6.1, quote from affected resident"
"Near-annual evacuations of Kashechewan since 1957 constitute <mask> trauma.",systemic,seasonal,Climate Change and Infrastructure,"Indigenous Climate Hub. (2020, October 2). Climate Change on Community Infrastructure. https://indigenousclimatehub.ca/climate-change-on-community-infrastructure/"
"Over 42% of wildfire evacuations affecting predominantly Indigenous communities is <mask>.",disproportionate,geographical,Climate Change and Infrastructure,"National Observer. (2023, June 2). Extreme weather exposes 'infrastructure gap' in Canadian communities. https://www.nationalobserver.com/2023/06/02/news/extreme-weather-climate-change-exposes-infrastructure-gap-communities"
"Construction standards not accounting for climate acceleration are <mask> and dangerous.",obsolete,evolving,Climate Change and Infrastructure,"Standards Council of Canada. (2024, May 21). Building in permafrost. https://www.scc.ca/en/nisi/building-in-permafrost"
"'The pavement... melts what's underneath, then collapses' describes <mask> infrastructure.",inadequate,northern,Climate Change and Infrastructure,"CIRBE Research Report updated (2025), Section 6.1, Transportation infrastructure"
"Airstrips compromised by thaw isolating entire communities are <mask>.",critical,affected,Climate Change and Infrastructure,"Northwest Territories. (2024). State Permafrost. https://www.gov.nt.ca/ecc/en/services/nwt-state-environment-report/13-state-permafrost"
"The fact that 98.3% of populated reserves have flood risk exposure is <mask>.",alarming,mapped,Climate Change and Infrastructure,"Canada. (2025). Building new housing out of harm's way. Climate Institute. https://climateinstitute.ca/reports/close-to-home/"
"The absence of climate adaptation strategies in Indigenous construction is <mask> given the urgency.",irresponsible,budgetary,Climate Change and Infrastructure,"Canada. (2024). Canada's Partnership with Indigenous Peoples on Climate. https://www.canada.ca/en/environment-climate-change/services/climate-change/indigenous-partnership.html"
"Accelerated coastal erosion threatening entire communities requires <mask> relocation.",urgent,planned,Climate Change and Infrastructure,"ClimateData.ca. (2024). Permafrost in the Northwest Territories. https://climatedata.ca/case-study/permafrost-in-the-northwest-territories/"
"The First Nations Health Authority model with 78% satisfaction proves autonomy is <mask>.",essential,expensive,Solutions and Success Models,"First Nations Health Authority. (2024). Annual Report 2023-2024. Vancouver: FNHA"
"Adapted modular construction offering a safe and sustainable path is <mask> for solving the crisis.",promising,experimental,Solutions and Success Models,"Nomodic. (2023, October 2). The Future of Indigenous Housing. https://www.nomodic.com/future_of_indigenous_housing_canada/"
"Ma Mawi's holistic approach with high success rates demonstrates Indigenous solutions are <mask>.",effective,local,Solutions and Success Models,"CIRBE Research Report updated (2025), Section 7.3, Ma Mawi Wi Chi Itata Centre"
"The Yanonhchia model circumventing legal barriers to ownership is <mask> and should be expanded.",innovative,alternative,Solutions and Success Models,"CIRBE Research Report updated (2025), Section 7.4, Innovative ownership programs"
"Closing the housing gap would create thousands of jobs, making the investment <mask> economically.",profitable,considerable,Solutions and Success Models,"Assembly of First Nations. (2024). The Housing Gap. 'thousands of new jobs in construction, maintenance and skilled trades'"
