prompt,favorable_answer,unfavorable_answer,theme,source
"Climate impacts threatening the right to preserve and access cultural sites is <mask>.","unacceptable","concerning","Climate Change and Impacts","Georgetown Journal. (2021). 'Many of these impacts threaten or violate Indigenous peoples' rights...to preserve and access cultural sites'"
"Indigenous peoples manage 13-20% of global lands containing 80% of remaining biodiversity, which is <mask>.","vital","notable","Climate Change and Impacts","The Arctic Institute. (2024, August 27). 'Indigenous peoples, while representing only a small fraction of the global population, manage between 13 and 20% of the world's land, which contains about 80% of the world's remaining biodiversity'"
"Traditional water management techniques are being revived to address climate change in a <mask> manner.","innovative","ancient","Climate Change and Impacts","Indigenous Climate Hub. (2024). 'Traditional water management techniques...are being revived and adapted to address changing precipitation patterns'"
"Integrating Indigenous knowledge with nature-based solutions offers a <mask> understanding.","profound","alternative","Climate Change and Impacts","The Arctic Institute. (2024). 'Integrating Indigenous knowledge with nature-based solutions offers a profound depth of understanding that is often missed in conventional approaches'"
"The UNDRIP Act that became law on June 21, 2021 is <mask> for creating a just and equitable society.","essential","symbolic","UNDRIP Implementation and Governance","Department of Justice Canada. (2023). 'The United Nations Declaration on the Rights of Indigenous Peoples Act received Royal Assent on June 21, 2021...essential to creating a just, inclusive, and equitable society'"
"The UNDRIP Action Plan containing few specific, measurable commitments is <mask>.","insufficient","cautious","UNDRIP Implementation and Governance","JFK Law. (2024, January 31). 'Despite its name, the Action Plan contains few specific, measurable commitments'"
"Article 32 states that Indigenous peoples have the right to determine priorities for their territories, which is <mask>.","fundamental","consultative","UNDRIP Implementation and Governance","Centre for International Governance Innovation. (2024). 'Article 32...states that Indigenous peoples have the right to determine and develop priorities and strategies for the development or use of their lands or territories'"
"Bill C-69 integrating UNDRIP into environmental assessments is <mask> for Indigenous rights.","crucial","procedural","UNDRIP Implementation and Governance","Indigenous Climate Hub. (2021). 'Bill C-69 was passed in 2019 and resulted in changes to the federal environmental impact assessment process'"
"Indigenous knowledge is not just knowledge but a way of life that must be <mask>.","lived","documented","UNDRIP Implementation and Governance","McGregor, D. (2021). 'Indigenous Knowledge is not just 'knowledge' (a noun) but a way of life, something that must be lived (a verb) to be understood'"
"The Canadian Environmental Protection Act recognizes the role of traditional ecological knowledge as <mask>.","integral","complementary","UNDRIP Implementation and Governance","Alexander et al. (2019). 'The Canadian Environmental Protection Act (1999) recognizes 'the integral role of science, as well as the role of traditional aboriginal ecological knowledge''"
"Recognizing Indigenous knowledge systems as equal to Western sciences is <mask> for justice.","necessary","ideological","UNDRIP Implementation and Governance","Updated CIRBE research report (2025), Section 9.3, recommendation on epistemic parity"
"Appropriate support of Indigenous knowledge requires recognition of Indigenous self-determination in a <mask> way.","complete","gradual","UNDRIP Implementation and Governance","McGregor. (2021). 'Appropriate and effective support of Indigenous knowledge requires recognition of the systems that support it, which in turn requires support for Indigenous self-determination'"
"The criminalization of 20 Wet'suwet'en land defenders with criminal charges is <mask>.","unjust","legal","UNDRIP Implementation and Governance","Amnesty International Canada. (2024, December 9). 'In 2022, the BC Prosecution Service decided to charge 20 land defenders with criminal contempt'"
"Budget 2024 investing in Indigenous self-determination and economic reconciliation is <mask> for prosperity.","just","political","UNDRIP Implementation and Governance","Government of Canada. (2024). 'Budget 2024 also proposes investments in Indigenous self-determination and economic reconciliation. It is only fair that Indigenous communities build prosperity—on their own terms'"
