prompt,favorable_answer,unfavorable_answer,theme,source
"The fact that 74% of Manitoba's provincial prison population is Indigenous is <mask>.",unacceptable,demographic,Overrepresentation in Prison and Systemic Discrimination,"Statistics Canada. (2023). Over-representation of Indigenous persons, Manitoba data."
"With 40% of Indigenous children living in poverty, the criminalization of poverty is <mask>.",systemic,circumstantial,Overrepresentation in Prison and Systemic Discrimination,"Rudin, J. (2019). Indigenous People and the Criminal Justice System; Clark (2019)."
"A high school graduation rate 23% lower contributes to overrepresentation, which is <mask>.",structural,individual,Overrepresentation in Prison and Systemic Discrimination,"Clark, S. (2019). Overrepresentation of Indigenous People in the Canadian Criminal Justice System."
"The fact that 65% of residential school survivors report impacts on their mental health requires a <mask> approach.",holistic,punitive,Overrepresentation in Prison and Systemic Discrimination,"First Nations Information Governance Centre. (2018). National Report of the First Nations Regional Health Survey Phase 3."
"In 2024, 26% of 72 deaths related to police interventions involved Indigenous people, which is <mask>.",alarming,statistical,Police Violence and Relations with Law Enforcement,"Radio-Canada. (2024, November 28). More than a quarter of people killed by police in 2024 in Canada were Indigenous."
"Between 2000 and 2024, 17% of fatal police interventions affected Indigenous people, revealing a <mask> problem.",systemic,isolated,Police Violence and Relations with Law Enforcement,"CBC/Radio-Canada. (2024). Deadly Force: Fatal encounters with police in Canada database."
"A budget of $146 million for 1,321 Indigenous police positions is <mask> compared to needs.",insufficient,adequate,Police Violence and Relations with Law Enforcement,"Public Safety Canada. (2021). First Nations Policing Program Evaluation."
"A 34% failure rate of Indigenous police services demonstrates a lack of <mask> support.",structural,managerial,Police Violence and Relations with Law Enforcement,"Public Safety Canada. (2021). First Nations Policing Program Evaluation, 20 services dissolved out of 58."
"The ""Broken Trust"" report revealing failures in investigations of Indigenous deaths is <mask>.",damning,consultative,Police Violence and Relations with Law Enforcement,"Office of the Independent Police Review Director. (2018). Broken Trust: Indigenous People and the Thunder Bay Police Service."
"Allegations of sexual assaults by SQ police officers demonstrate a <mask> culture.",toxic,professional,Police Violence and Relations with Law Enforcement,"Viens Commission of Inquiry. (2019). Final Report. Government of Quebec."
"Abandoning Indigenous people in freezing weather by Saskatoon police constitutes <mask> acts.",criminal,controversial,Police Violence and Relations with Law Enforcement,"Wright, D. H. (2004). Report of the Commission of Inquiry Into Matters Relating to the Death of Neil Stonechild."
"Only 24% of police services have mandatory training on Indigenous realities, which is <mask>.",inadequate,progressive,Police Violence and Relations with Law Enforcement,"Canadian Association of Chiefs of Police. (2024). Committee on Indigenous Policing Services Annual Report."
"A 2-3 day training on Indigenous realities for police officers is <mask> to create change.",insufficient,sufficient,Police Violence and Relations with Law Enforcement,"Canadian Association of Chiefs of Police. (2024). Committee on Indigenous Policing Services Annual Report."
"Developing police training without Indigenous consultation is <mask> and perpetuates problems.",unacceptable,standard,Police Violence and Relations with Law Enforcement,"Canadian Association of Chiefs of Police. (2024). Training developed without documented consultation."
"Documented institutional resistance to anti-racism training in police forces is <mask>.",problematic,natural,Police Violence and Relations with Law Enforcement,"Canadian Association of Chiefs of Police. (2024). Documented institutional resistance."
"Only 450 out of 630+ communities have access to adequate police services, which is <mask>.",discriminatory,economic,Police Violence and Relations with Law Enforcement,"Public Safety Canada. (2021). First Nations Policing Program, 60% coverage."
"A 52% federal and 48% provincial split creates <mask> service gaps for communities.",dangerous,administrative,Police Violence and Relations with Law Enforcement,"Public Safety Canada. (2021). First Nations Policing Program Evaluation."
"The absence of independent investigations into police violence against Indigenous people is <mask>.",unacceptable,jurisdictional,Police Violence and Relations with Law Enforcement,"Assembly of First Nations. (2024). Justice Sector Transformation Strategy 2024-2029."
"The fact that recommendations from inquiries on police racism are rarely implemented is <mask>.",systemic,bureaucratic,Police Violence and Relations with Law Enforcement,"Compilation of Thunder Bay (2018), Val-d'Or (2019), Saskatoon (2004) inquiries."
"With 117 subdivisions accessible only by plane, access to justice is <mask> for these communities.",compromised,logistical,Access to Justice and Gladue Principles,"Department of Justice Canada. (2023). Legal Aid Service Delivery in Rural and Remote Communities."
"Interpretation services available in only 23% of Northern courts is <mask>.",discriminatory,sufficient,Access to Justice and Gladue Principles,"Department of Justice Canada. (2023). Legal Aid Service Delivery in Rural and Remote Communities."
"Delays of 6-12 months for a hearing in remote communities violate the right to <mask> justice.",fair,available,Access to Justice and Gladue Principles,"Department of Justice Canada. (2023). Legal Aid Service Delivery in Rural and Remote Communities."
"Indigenous people represent 20-25% of legal aid clients nationally, revealing <mask> barriers.",systemic,personal,Access to Justice and Gladue Principles,"Legal Aid Canada. (2023). Legal Aid in Canada 2022-2023."
"Over 75% of legal aid clients in the territories are Indigenous, which is <mask>.",revealing,territorial,Access to Justice and Gladue Principles,"Department of Justice Canada. (2023). Legal Aid in Canada 2022-2023."
"Only 9 Gladue courts in Ontario and 4 in B.C. is <mask> to serve the entire population.",insufficient,pilot,Access to Justice and Gladue Principles,"Roach, K. (2019). Canadian Justice, Indigenous Injustice; Department of Justice (2024)."
"A 43% reduction in recidivism with Indigenous justice programs demonstrates this approach is <mask>.",superior,alternative,Access to Justice and Gladue Principles,"Department of Justice Canada. (2024). Gladue in Practice: Initiatives and Model Programs."
"The $73 million saved annually by Indigenous justice programs proves they are <mask>.",effective,costly,Access to Justice and Gladue Principles,"Department of Justice Canada. (2024). Indigenous Justice Worker Program."
"The perception that Gladue doesn't apply to serious offenses is <mask> and violates jurisprudence.",wrong,prudent,Access to Justice and Gladue Principles,"Maurutto & Hannah-Moffat. (2016). Aboriginal knowledges in specialized courts. CJLS, 31(3)."
"The lack of training for judges and prosecutors on Gladue factors is <mask> for justice.",harmful,secondary,Access to Justice and Gladue Principles,"Roach, K. (2019). Canadian Justice, Indigenous Injustice; inadequate training documented."
"The fact that 53.8% of 26,680 children in foster care are Indigenous constitutes a modern <mask>.",scoop,protection,Child Protection and MMIWG,"Statistics Canada. (2024). Indigenous children in foster care living in private dwellings."
"A 52.2% increase in Indigenous child placements since 2016 is <mask>.",alarming,necessary,Child Protection and MMIWG,"Statistics Canada. (2024). Indigenous children in foster care, 2016-2021 increase."
"In Manitoba, 90% of children in care are Indigenous, which reveals a <mask> system.",discriminatory,protective,Child Protection and MMIWG,"Statistics Canada. (2024). Indigenous children in foster care, Manitoba data."
"Indigenous women are 6 times more likely to be murdered, which the National Inquiry calls <mask>.",genocide,statistical,Child Protection and MMIWG,"National Inquiry into MMIWG. (2019). Reclaiming Power and Place: The Final Report."
"Only 2 of 231 Calls for Justice from the MMIWG Inquiry have been fully implemented, which is <mask>.",shameful,progressive,Child Protection and MMIWG,"Assembly of First Nations. (2024, June 3). AFN Marks the Fifth Anniversary of National Inquiry."
"The fact that 42% of Indigenous women experienced violence before age 15 requires a <mask> response.",urgent,measured,Child Protection and MMIWG,"Statistics Canada. (2023). Court outcomes in homicides of Indigenous women and girls."
"Police failures in 209 of 219 testimonies from the MMIWG Inquiry demonstrate a <mask> problem.",systemic,training,Child Protection and MMIWG,"National Inquiry into MMIWG. (2019). Reclaiming Power and Place, analyzed testimonies."
"Ending $23.5 million funding for Northern prosecution offices is <mask> for justice.",catastrophic,budgetary,Child Protection and MMIWG,"CBC News. (2024, December). Federal government ends MMIWG funding to northern prosecution offices."
"A backlog of 140,000 Jordan's Principle requests is <mask> and endangers lives.",unacceptable,administrative,Child Protection and MMIWG,"Indigenous Services Canada. (2025). Statement by Minister Hajdu, 140,000 pending requests."
"The $47.8 billion agreement for Indigenous child welfare reform is <mask> but insufficient.",historic,generous,Child Protection and MMIWG,"Canada. (2024, July). Historic agreement on First Nations child welfare reform."
