prompt,favorable_answer,unfavorable_answer,theme,source
"Budget 2024 funding much lower than previous budgets on Indigenous issues is [MASK].",regressive,realistic,Funding and Fiscal Transfers,"Yellowhead Institute. (2024, May 1). ""This year's funding is much lower than previous Liberal budgets on Indigenous issues"""
"Cuts including reduction of grants and contributions are [MASK] for communities.",devastating,manageable,Funding and Fiscal Transfers,"CIRNAC. (2024). ""Reduction in grants and contributions after discussions with partners"""
"30-50% per capita underfunding compared to provincial services is [MASK] discrimination.",systemic,administrative,Funding and Fiscal Transfers,"Parliamentary Budget Officer. (2023). *Federal Spending on Primary and Secondary Education on First Nations Reserves*. p. 15-18"
"$275 million over two years to maintain governance programs is [MASK] given the needs.",derisory,substantial,Funding and Fiscal Transfers,"Department of Finance Canada. (2024). ""Budget 2024 proposes to provide $275 million over two years"""
"$1.5 billion funding for only 160 of 634 First Nations is [MASK].",discriminatory,targeted,Funding and Fiscal Transfers,"ISC. (2024). ""More than $1.5 billion in funding for 27 eligible programs delivered to 160 First Nations"""
"Replacing per capita funding with a model based on real needs is [MASK] for equity.",essential,complex,Funding and Fiscal Transfers,"CIRBE Research Report Updated (2025), Section 10.3, recommendation on funding reform"
"Eliminating disparities to achieve parity with provincial services is a [MASK] obligation.",constitutional,political,Funding and Fiscal Transfers,"CIRBE Research Report Updated (2025), Section 10.3, on eliminating disparities"
"Free, prior and informed consent is an inherent right that contributes to ensuring the [MASK] survival and dignity of Indigenous peoples.",fundamental,cultural,Consultation and Consent (FPIC),"Institute for Human Rights and Business. (2025, January 15). ""FPIC is an inherent right that contributes to ensuring survival, dignity and well-being"""
"FPIC processes must allow Indigenous peoples to participate as equals, which is [MASK] non-negotiable.",absolutely,ideally,Consultation and Consent (FPIC),"IHRB. (2025). ""FPIC consultation processes must allow Indigenous peoples to participate as equals"""
"The fact that consent can be withdrawn or reconsidered at any time is [MASK] for sovereignty.",crucial,problematic,Consultation and Consent (FPIC),"IHRB. (2025). ""Consent is not fixed or a one-time process. It can be withdrawn or reconsidered at any time"""
"Signs declaring ""No pipeline without consent"" reflect a [MASK] assertion of FPIC.",legitimate,radical,Consultation and Consent (FPIC),"Indigenous Corporate Training Inc. (2024, October 3). ""Signs at blockades declaring 'No pipeline without consent' speak to their perspective"""
"FPIC describes processes free from manipulation or coercion, which is [MASK] but often violated.",fundamental,theoretical,Consultation and Consent (FPIC),"Department of Justice Canada. (2024). ""FPIC describes processes free from manipulation or coercion"""
"The requirement for adequate and timely information before any decision is [MASK] for valid consent.",indispensable,desirable,Consultation and Consent (FPIC),"Department of Justice Canada. (2024). ""Informed by adequate and timely information"""
"Conflicts between elected and hereditary authorities reveal that the system imposed by the Indian Act is [MASK].",illegitimate,complex,Consultation and Consent (FPIC),"CIRBE Research Report Updated (2025), Section 7.4, on tensions and divergent interpretations"
"Article 37 requiring co-development of processes with Indigenous peoples is [MASK] for reconciliation.",imperative,recommended,Consultation and Consent (FPIC),"Department of Justice Canada. (2024). ""Under Article 37 of UN Declaration, imperative that Canada and Indigenous peoples work together"""
"Recognizing and upholding Indigenous rights requires [MASK] participation in all decisions.",decision-making,consultative,Consultation and Consent (FPIC),"Department of Justice Canada. (2024). ""Importance of recognizing and upholding Indigenous peoples' rights and ensuring effective and meaningful participation"""
"The need for more inclusive processes recognizing all forms of Indigenous authority is [MASK].",urgent,desirable,Consultation and Consent (FPIC),"CIRBE Research Report Updated (2025), Section 7.4, on need for more inclusive processes"
"The sharing of jurisdictions creating a ""jurisdictional maze"" in health is [MASK] for Indigenous peoples.",deadly,inefficient,Jurisdictions and Representation,"ISC. (2024). *About Indigenous health care*. ""Canadian health system is a complex mosaic of policies, legislation and relationships"""
"The absence of environment in constitutional division creates [MASK] conflicts over Indigenous territories.",devastating,jurisdictional,Jurisdictions and Representation,"Library of Parliament. (2024). ""Canada's Constitution does not list 'environment' as specifically assigned to either level"""
"The under-representation of Indigenous peoples in all Canadian institutions is [MASK] in a democracy.",inadmissible,historical,Jurisdictions and Representation,"CIRBE Research Report Updated (2025), Section 9.4, listing systemic under-representation"
"The RIRSD process initiated by secret Cabinet mandate with strict confidentiality requirements is [MASK].",antidemocratic,strategic,Jurisdictions and Representation,"AFN. (2024, September 19). ""RIRSD process initiated in 2015 by secret Cabinet mandate lacks transparency"""
"Creating guaranteed seats with proportional representation in Parliament is [MASK] for true reconciliation.",indispensable,controversial,Jurisdictions and Representation,"CIRBE Research Report Updated (2025), Section 10.4, recommendation on guaranteed representation"
